| Reward: -11962 | Episode: 118 | Qmax: 116.72727514196325 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -11422 | Episode: 119 | Qmax: 117.24602630737427 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -7525 | Episode: 120 | Qmax: 117.27174023846845 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -11044 | Episode: 121 | Qmax: 117.5553796136224 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -8893 | Episode: 122 | Qmax: 118.34080341174915 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -11269 | Episode: 123 | Qmax: 118.6468176550574 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -6886 | Episode: 124 | Qmax: 119.02565958597758 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -10900 | Episode: 125 | Qmax: 119.05394092670551 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -10180 | Episode: 126 | Qmax: 119.22771947973364 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -8920 | Episode: 127 | Qmax: 120.14595418172078 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -11350 | Episode: 128 | Qmax: 119.48014910968097 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -5104 | Episode: 129 | Qmax: 120.34317992614196 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -10999 | Episode: 130 | Qmax: 120.06478908565548 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -11260 | Episode: 131 | Qmax: 120.28848223834186 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -8767 | Episode: 132 | Qmax: 120.23546165794701 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -5500 | Episode: 133 | Qmax: 120.67360879709055 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -12160 | Episode: 134 | Qmax: 120.54238203505018 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -10810 | Episode: 135 | Qmax: 120.78202170676536 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -9460 | Episode: 136 | Qmax: 120.37900116302826 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -9109 | Episode: 137 | Qmax: 120.4490125272367 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -10612 | Episode: 138 | Qmax: 120.14168724235711 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -10810 | Episode: 139 | Qmax: 119.52255824855618 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -8875 | Episode: 140 | Qmax: 119.69377570013862 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -10900 | Episode: 141 | Qmax: 119.3175831089268 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -13330 | Episode: 142 | Qmax: 118.64230783517893 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -6661 | Episode: 143 | Qmax: 118.82013194529979 | Exploration: 0.193676391219 | Step: 999 | LR:0.0005
| Reward: -3926 | Episode: 144 | Qmax: 118.8662187459883 | Exploration: 0.192126980089 | Step: 426 | LR:0.0005
| Reward: -11260 | Episode: 145 | Qmax: 118.08153572884407 | Exploration: 0.192126980089 | Step: 999 | LR:0.0005
| Reward: -11530 | Episode: 146 | Qmax: 117.61778030166397 | Exploration: 0.192126980089 | Step: 999 | LR:0.0005
| Reward: -10270 | Episode: 147 | Qmax: 117.76968263123963 | Exploration: 0.192126980089 | Step: 999 | LR:0.0005
| Reward: -11431 | Episode: 148 | Qmax: 117.38919590519474 | Exploration: 0.192126980089 | Step: 999 | LR:0.0005
| Reward: -11080 | Episode: 149 | Qmax: 116.9103594026766 | Exploration: 0.192126980089 | Step: 999 | LR:0.0005
| Reward: -4914 | Episode: 150 | Qmax: 116.4883613272889 | Exploration: 0.190589964249 | Step: 730 | LR:0.0005
| Reward: -9433 | Episode: 151 | Qmax: 116.7830547298397 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -9595 | Episode: 152 | Qmax: 116.54344407120743 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -6976 | Episode: 153 | Qmax: 116.54600685280006 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -10594 | Episode: 154 | Qmax: 116.22069321977007 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -10810 | Episode: 155 | Qmax: 115.95928016486945 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -10450 | Episode: 156 | Qmax: 115.18341635703086 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -10171 | Episode: 157 | Qmax: 115.1975829360244 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -10990 | Episode: 158 | Qmax: 114.7117767715836 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -12349 | Episode: 159 | Qmax: 114.90738171643324 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -11080 | Episode: 160 | Qmax: 114.4644387276681 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -11800 | Episode: 161 | Qmax: 113.57538350423177 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -7633 | Episode: 162 | Qmax: 113.49043166243636 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -8560 | Episode: 163 | Qmax: 113.21342428549154 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
| Reward: -12070 | Episode: 164 | Qmax: 113.0772890428881 | Exploration: 0.190589964249 | Step: 999 | LR:0.0005
