| Reward: -3281 | Episode: 80 | Qmax: 44.56475698079495 | Exploration: 0.32485452183 | Step: 906 | LR:0.0015
| Reward: -1350 | Episode: 81 | Qmax: 45.04955033174495 | Exploration: 0.318357431394 | Step: 388 | LR:0.0015
| Reward: -2604 | Episode: 82 | Qmax: 48.634780576928556 | Exploration: 0.311990282766 | Step: 634 | LR:0.0015
| Reward: -1856 | Episode: 83 | Qmax: 48.134950159522006 | Exploration: 0.30575047711 | Step: 327 | LR:0.0015
| Reward: -3394 | Episode: 84 | Qmax: 51.303979627362956 | Exploration: 0.30575047711 | Step: 999 | LR:0.0015
| Reward: -1869 | Episode: 85 | Qmax: 51.61784020321077 | Exploration: 0.299635467568 | Step: 538 | LR:0.0015
| Reward: -3486 | Episode: 86 | Qmax: 54.876394777881856 | Exploration: 0.293642758217 | Step: 931 | LR:0.0015
| Reward: -1489 | Episode: 87 | Qmax: 53.496111381217226 | Exploration: 0.287769903052 | Step: 365 | LR:0.0015
| Reward: -672 | Episode: 88 | Qmax: 58.04503669201488 | Exploration: 0.282014504991 | Step: 142 | LR:0.00147
| Reward: -1225 | Episode: 89 | Qmax: 55.77404208616777 | Exploration: 0.276374214892 | Step: 308 | LR:0.00147
| Reward: -2226 | Episode: 90 | Qmax: 57.29588528927241 | Exploration: 0.270846730594 | Step: 535 | LR:0.00147
| Reward: -1823 | Episode: 91 | Qmax: 57.482312655618 | Exploration: 0.265429795982 | Step: 564 | LR:0.00147
| Reward: -1230 | Episode: 92 | Qmax: 61.505377230687444 | Exploration: 0.260121200062 | Step: 331 | LR:0.00147
| Reward: -1992 | Episode: 93 | Qmax: 60.708884348303584 | Exploration: 0.254918776061 | Step: 472 | LR:0.00147
| Reward: -896 | Episode: 94 | Qmax: 64.99841760295305 | Exploration: 0.24982040054 | Step: 258 | LR:0.00147
| Reward: -1184 | Episode: 95 | Qmax: 63.62480596447667 | Exploration: 0.244823992529 | Step: 141 | LR:0.00147
| Reward: -1629 | Episode: 96 | Qmax: 63.79813326461406 | Exploration: 0.239927512678 | Step: 316 | LR:0.00147
| Reward: -707 | Episode: 97 | Qmax: 66.06232121411492 | Exploration: 0.235128962425 | Step: 204 | LR:0.0014406
| Reward: -383 | Episode: 98 | Qmax: 67.98957540591557 | Exploration: 0.230426383176 | Step: 96 | LR:0.0014117882
| Reward: -803 | Episode: 99 | Qmax: 63.22121649457697 | Exploration: 0.225817855513 | Step: 228 | LR:0.0014117882
| Reward: -1165 | Episode: 100 | Qmax: 67.44618925146155 | Exploration: 0.221301498403 | Step: 185 | LR:0.0014117882
| Reward: -769 | Episode: 101 | Qmax: 64.28680176031394 | Exploration: 0.216875468434 | Step: 122 | LR:0.0013835524
| Reward: -467 | Episode: 102 | Qmax: 68.42648552082203 | Exploration: 0.212537959066 | Step: 108 | LR:0.0013558815
| Reward: -664 | Episode: 103 | Qmax: 70.25272549438476 | Exploration: 0.208287199884 | Step: 125 | LR:0.0013287639
| Reward: -1384 | Episode: 104 | Qmax: 66.50849516420479 | Exploration: 0.204121455887 | Step: 332 | LR:0.0013287639
| Reward: -1589 | Episode: 105 | Qmax: 68.50446888329326 | Exploration: 0.200039026769 | Step: 276 | LR:0.0013287639
| Reward: -915 | Episode: 106 | Qmax: 69.19966520327274 | Exploration: 0.196038246234 | Step: 214 | LR:0.0013287639
| Reward: -1085 | Episode: 107 | Qmax: 72.30575058072112 | Exploration: 0.192117481309 | Step: 258 | LR:0.0013287639
| Reward: -1233 | Episode: 108 | Qmax: 72.2826211196741 | Exploration: 0.188275131683 | Step: 289 | LR:0.0013287639
| Reward: -1483 | Episode: 109 | Qmax: 70.1753278949044 | Exploration: 0.184509629049 | Step: 440 | LR:0.0013287639
| Reward: -622 | Episode: 110 | Qmax: 73.01617323634136 | Exploration: 0.180819436468 | Step: 83 | LR:0.0013021886
| Reward: -1194 | Episode: 111 | Qmax: 73.3722432572791 | Exploration: 0.177203047739 | Step: 376 | LR:0.0013021886
| Reward: -1260 | Episode: 112 | Qmax: 72.51176606398363 | Exploration: 0.173658986784 | Step: 325 | LR:0.0013021886
| Reward: -556 | Episode: 113 | Qmax: 75.39290878295898 | Exploration: 0.170185807048 | Step: 125 | LR:0.0012761449
| Reward: -718 | Episode: 114 | Qmax: 74.58869188172477 | Exploration: 0.166782090907 | Step: 224 | LR:0.0012506221
| Reward: -613 | Episode: 115 | Qmax: 75.49232605243552 | Exploration: 0.163446449089 | Step: 290 | LR:0.0012256097
| Reward: -623 | Episode: 116 | Qmax: 76.46486955461882 | Exploration: 0.160177520107 | Step: 327 | LR:0.0012010975
| Reward: -479 | Episode: 117 | Qmax: 76.43379526871901 | Exploration: 0.156973969705 | Step: 156 | LR:0.0011770756
| Reward: -489 | Episode: 118 | Qmax: 80.75189137746052 | Exploration: 0.153834490311 | Step: 166 | LR:0.001153534
| Reward: -292 | Episode: 119 | Qmax: 77.0731804771761 | Exploration: 0.150757800505 | Step: 113 | LR:0.0011304634
| Reward: -654 | Episode: 120 | Qmax: 77.34823110914722 | Exploration: 0.147742644495 | Step: 97 | LR:0.0011078543
