 | Episode: 69 | Train: 0.164487600327 | Gym: 0.79577755928 | Batch: 0.10381770134 | Guide: 0.733067035675
 | Episode: 70 | Train: 0.538930892944 | Gym: 2.51221966743 | Batch: 0.31152510643 | Guide: 2.31121611595
 | Episode: 71 | Train: 0.3116979599 | Gym: 1.30715703964 | Batch: 0.184016466141 | Guide: 1.18897914886
 | Episode: 72 | Train: 0.372469186783 | Gym: 1.63172864914 | Batch: 0.224975585938 | Guide: 1.48360347748
 | Episode: 73 | Train: 0.140869855881 | Gym: 0.394584417343 | Batch: 0.0856330394745 | Guide: 0.336390018463
 | Episode: 74 | Train: 0.403251409531 | Gym: 1.2348690033 | Batch: 0.235348701477 | Guide: 1.07566189766
 | Episode: 75 | Train: 0.127819299698 | Gym: 0.669177532196 | Batch: 0.0746595859528 | Guide: 0.622067213058
 | Episode: 76 | Train: 0.32811498642 | Gym: 2.10529994965 | Batch: 0.204407930374 | Guide: 1.9868209362
 | Episode: 77 | Train: 0.0740239620209 | Gym: 0.403105258942 | Batch: 0.0464773178101 | Guide: 0.376374006271
 | Episode: 78 | Train: 0.204243421555 | Gym: 0.522226572037 | Batch: 0.117366790771 | Guide: 0.446083068848
 | Episode: 79 | Train: 0.0538096427917 | Gym: 0.238285541534 | Batch: 0.0307281017303 | Guide: 0.220133066177
 | Episode: 80 | Train: 0.357377529144 | Gym: 0.486693382263 | Batch: 0.0989191532135 | Guide: 0.4228079319
 | Episode: 81 | Train: 0.32705950737 | Gym: 1.44698572159 | Batch: 0.199589729309 | Guide: 1.31416106224
 | Episode: 82 | Train: 0.149221658707 | Gym: 0.85897731781 | Batch: 0.0933730602264 | Guide: 0.79817700386
 | Episode: 83 | Train: 0.435435295105 | Gym: 2.03727459908 | Batch: 0.260498285294 | Guide: 1.87598776817
 | Episode: 84 | Train: 0.3169298172 | Gym: 1.11966776848 | Batch: 0.188514947891 | Guide: 0.996347904205
 | Episode: 85 | Train: 0.234110593796 | Gym: 0.649529218674 | Batch: 0.135510444641 | Guide: 0.557837486267
